codigo_asignatura,asignatura,planes,tipologia,creditos,grupo,actividad,profesores,cupos_disponibles,jornada,dia,hora_inicio,hora_fin,salon,edificio,tipo_espacio,salon_nombre,fecha
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(1) Grupo 1,CLASE TEORICA,Maria Alejandra Caicedo Londoño,0,DIURNO,MARTES,18:00,20:00,406-227,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-227,24/08/2026 - 17/12/2026
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(1) Grupo 1,CLASE TEORICA,Maria Alejandra Caicedo Londoño,0,DIURNO,JUEVES,18:00,20:00,406-227,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-227,24/08/2026 - 17/12/2026
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(2) Grupo 2,CLASE TEORICA,Maria Alejandra Caicedo Londoño,0,DIURNO,LUNES,18:00,20:00,406-223,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-223,24/08/2026 - 17/12/2026
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(2) Grupo 2,CLASE TEORICA,Maria Alejandra Caicedo Londoño,0,DIURNO,MIÉRCOLES,18:00,20:00,406-223,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-223,24/08/2026 - 17/12/2026
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(3) Grupo 3,CLASE TEORICA,JOSE LUIS DIAZ AREVALO,0,DIURNO,MIÉRCOLES,09:00,11:00,401-201,401 - Julio Garavito Armero,SALA DE INFORMATICA Y/O DE COMPUTO,SALÓN DE CLASE 401-201,24/08/2026 - 17/12/2026
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(3) Grupo 3,CLASE TEORICA,JOSE LUIS DIAZ AREVALO,0,DIURNO,VIERNES,09:00,11:00,401-201,401 - Julio Garavito Armero,SALA DE INFORMATICA Y/O DE COMPUTO,SALÓN DE CLASE 401-201,24/08/2026 - 17/12/2026
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(4) Grupo 4,CLASE TEORICA,JOSE LUIS DIAZ AREVALO,0,DIURNO,MIÉRCOLES,11:00,13:00,406-231,406 - Carlos Alfonso Cortés Amador,SALA DE AUDIOVISUALES,SALON DE CLASE 406-231 (SALA TIC),24/08/2026 - 17/12/2026
2015938,Acueductos,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(4) Grupo 4,CLASE TEORICA,JOSE LUIS DIAZ AREVALO,0,DIURNO,VIERNES,11:00,13:00,406-227,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-227,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(1) Grupo 1,CLASE TEORICA,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,DIURNO,MARTES,14:00,16:00,406-227,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-227,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(1) Grupo 1,CLASE TEORICA,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,DIURNO,JUEVES,14:00,16:00,406-227,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-227,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(2) Grupo 2,CLASE TEORICA,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,DIURNO,MARTES,16:00,18:00,401-203,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-203,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(2) Grupo 2,CLASE TEORICA,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,DIURNO,JUEVES,16:00,18:00,401-203,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-203,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(3) Grupo 3,CLASE TEORICA,Edder Alexander Velandia Duran,7,DIURNO,LUNES,18:00,20:00,406-229,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-229,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(3) Grupo 3,CLASE TEORICA,Edder Alexander Velandia Duran,7,DIURNO,MIÉRCOLES,18:00,20:00,406-229,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-229,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(4) Grupo 4,CLASE TEORICA,CARLOS ALBERTO ESPAÑOL MARIÑO,0,DIURNO,MARTES,18:00,20:00,406-223,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-223,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(4) Grupo 4,CLASE TEORICA,CARLOS ALBERTO ESPAÑOL MARIÑO,0,DIURNO,JUEVES,18:00,20:00,406-223,406 - Carlos Alfonso Cortés Amador,SALON,SALON DE CLASE 406-223,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(5) Grupo 5,CLASE TEORICA,No informado,0,DIURNO,MARTES,07:00,09:00,454-208,454 - Luis Carlos Sarmiento Angulo,SALON,SALON DE CLASE 454-208,24/08/2026 - 17/12/2026
2015939,Alcantarillados,2542 INGENIERÍA CIVIL,DISCIPLINAR OBLIGATORIA,3,(5) Grupo 5,CLASE TEORICA,No informado,0,DIURNO,JUEVES,07:00,09:00,454-208,454 - Luis Carlos Sarmiento Angulo,SALON,SALON DE CLASE 454-208,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(1) Grupo 1,,Erika Lorena Rosero Alzate; Oscar Andrés Rojas Sepúlveda,0,DIURNO,LUNES,07:00,09:00,453-111,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-111,27/08/2026 - 16/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(1) Grupo 1,,Erika Lorena Rosero Alzate; Oscar Andrés Rojas Sepúlveda,0,DIURNO,MIÉRCOLES,07:00,09:00,453-107,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-107,27/08/2026 - 16/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(1) Grupo 1,,Erika Lorena Rosero Alzate; Oscar Andrés Rojas Sepúlveda,0,DIURNO,SÁBADO,07:00,09:00,,,,,27/08/2026 - 16/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(10) Grupo 10,,Epifanio Lozano Ayala,0,DIURNO,MARTES,07:00,09:00,453-103,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-103,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(10) Grupo 10,,Epifanio Lozano Ayala,0,DIURNO,JUEVES,07:00,09:00,453-103,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-103,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(11) Grupo 11,,Gustavo Adolfo Nieto Clavijo,0,DIURNO,MARTES,07:00,09:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(11) Grupo 11,,Gustavo Adolfo Nieto Clavijo,0,DIURNO,JUEVES,07:00,09:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(12) Grupo 12,,LENIN DAVID ANGARITA RIVERA,0,DIURNO,MIÉRCOLES,16:00,18:00,453-105,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-105,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(12) Grupo 12,,LENIN DAVID ANGARITA RIVERA,0,DIURNO,VIERNES,16:00,18:00,453-105,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-105,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(13) Grupo 13,,Mohammed EL AIDI,0,DIURNO,MARTES,09:00,11:00,453-103,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-103,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(13) Grupo 13,,Mohammed EL AIDI,0,DIURNO,JUEVES,09:00,11:00,453-103,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-103,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(15) Grupo 15,,Myriam Leonor Campos Florez,0,DIURNO,MARTES,11:00,13:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(15) Grupo 15,,Myriam Leonor Campos Florez,0,DIURNO,JUEVES,11:00,13:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(16) Grupo 16,,No informado,0,DIURNO,MARTES,14:00,16:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(16) Grupo 16,,No informado,0,DIURNO,JUEVES,14:00,16:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(17) Grupo 17,,Martha Cecilia Moreno Penagos,0,DIURNO,MARTES,11:00,13:00,453-103,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-103,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(17) Grupo 17,,Martha Cecilia Moreno Penagos,0,DIURNO,JUEVES,11:00,13:00,453-103,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-103,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(18) Grupo 18,,John Alexander Cruz Morales,0,DIURNO,MARTES,16:00,18:00,405-202,405 - Posgrados Matemáticas y Física,AUDITORIO,AUDITORIO PARA SUSTENTAR CLASES (MATEMATICAS),24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(18) Grupo 18,,John Alexander Cruz Morales,0,DIURNO,JUEVES,16:00,18:00,405-202,405 - Posgrados Matemáticas y Física,AUDITORIO,AUDITORIO PARA SUSTENTAR CLASES (MATEMATICAS),24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(20) Grupo 20,,Natalia Camila Pinzon Cortes,0,DIURNO,MIÉRCOLES,07:00,09:00,404-200,404 - Yu Takeuchi,SALON,SALON DE CLASE 200,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(20) Grupo 20,,Natalia Camila Pinzon Cortes,0,DIURNO,VIERNES,07:00,09:00,404-200,404 - Yu Takeuchi,SALON,SALON DE CLASE 200,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(21) Grupo 21,,Ivon Andrea Dorado Correa,0,DIURNO,MIÉRCOLES,07:00,09:00,405-202,405 - Posgrados Matemáticas y Física,AUDITORIO,AUDITORIO PARA SUSTENTAR CLASES (MATEMATICAS),24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(21) Grupo 21,,Ivon Andrea Dorado Correa,0,DIURNO,VIERNES,07:00,09:00,405-202,405 - Posgrados Matemáticas y Física,AUDITORIO,AUDITORIO PARA SUSTENTAR CLASES (MATEMATICAS),24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(22) Grupo 22,,David Reyes Gaona,0,DIURNO,LUNES,18:00,20:00,564-203,564 - Gloria Amparo Galeano Garcés,,SALON 203,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(22) Grupo 22,,David Reyes Gaona,0,DIURNO,MIÉRCOLES,18:00,20:00,404-212,404 - Yu Takeuchi,SALON,SALON DE CLASE 212,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(3) Grupo 3,,JHON ALEJANDRO AYALA OLIVEROS,0,DIURNO,LUNES,18:00,20:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(3) Grupo 3,,JHON ALEJANDRO AYALA OLIVEROS,0,DIURNO,MIÉRCOLES,18:00,20:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(4) Grupo 4,,Luis Alejandro Barbosa Torres,0,DIURNO,MIÉRCOLES,16:00,18:00,401-PAR-A,401 - Julio Garavito Armero,AUDITORIO,AUDITORIO CARLOS ALBERTO BARBERI PERDOMO (PARANINFO A),24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(4) Grupo 4,,Luis Alejandro Barbosa Torres,0,DIURNO,VIERNES,16:00,18:00,401-PAR-A,401 - Julio Garavito Armero,AUDITORIO,AUDITORIO CARLOS ALBERTO BARBERI PERDOMO (PARANINFO A),24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(5) Grupo 5,,Sherly Paola Alfonso Sanchez,0,DIURNO,LUNES,11:00,13:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(5) Grupo 5,,Sherly Paola Alfonso Sanchez,0,DIURNO,MIÉRCOLES,11:00,13:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(7) Grupo 7,,Myriam Leonor Campos Florez,0,DIURNO,LUNES,14:00,16:00,453-105,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-105,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(7) Grupo 7,,Myriam Leonor Campos Florez,0,DIURNO,MIÉRCOLES,14:00,16:00,453-105,453 - Guillermina Uribe Bone,SALON,SALON DE CLASE 453-105,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(8) Grupo 8,,No informado,8,DIURNO,MIÉRCOLES,16:00,18:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(8) Grupo 8,,No informado,8,DIURNO,VIERNES,16:00,18:00,401-104,401 - Julio Garavito Armero,SALON,SALÓN DE CLASE 401-104,24/08/2026 - 17/12/2026
1000003-B,Álgebra Lineal,2542 INGENIERÍA CIVIL,FUND. OBLIGATORIA,4,(8) Grupo 8,,No informado,8,DIURNO,MARTES,07:00,09:00,A-2B,AULAS MODULARES,SALON,AULA MODULAR 2B,24/08/2026 - 17/12/2026
